Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,AL West,42,37,3,4.51,4.11,79,0.00,0.08,0.34,8.85,8.20,4.51,4.04,1.08,3.53,8.77,1.326,8.92,1.09,0.56,0.84,.984,28.2
2022,AL West,73,89,3,4.12,3.77,162,0.01,0.10,0.23,8.86,7.66,4.12,3.71,1.04,3.33,8.54,1.241,8.67,1.05,0.52,0.83,.985,27.4
2021,AL West,77,85,4,4.96,4.69,162,0.01,0.02,0.24,8.78,8.48,4.96,4.57,1.16,3.65,8.97,1.382,9.20,1.19,0.54,0.81,.985,28.6
2020,AL West,26,34,4,5.35,5.09,60,0.02,0.03,0.20,8.2,8.20,5.35,4.95,1.37,3.32,8.72,1.315,8.96,1.40,0.60,0.60,.983,27.4
2019,AL West,72,90,4,5.36,5.12,162,0.00,0.01,0.20,8.91,8.75,5.36,5.06,1.65,3.56,8.67,1.381,8.76,1.67,0.57,0.73,.984,27.0
2018,AL West,80,82,4,4.46,4.15,162,0.01,0.06,0.22,8.87,8.35,4.46,4.09,1.27,3.37,8.56,1.321,8.68,1.28,0.47,1.07,.987,27.5
2017,AL West,80,82,2,4.38,4.20,162,0.01,0.06,0.27,8.89,8.48,4.38,4.15,1.38,2.90,8.10,1.279,8.20,1.40,0.49,0.83,.986,29.1
2016,AL West,74,88,4,4.49,4.28,162,0.02,0.07,0.18,8.2,9.14,4.49,4.17,1.28,3.07,7.01,1.392,7.19,1.32,0.60,0.91,.983,28.4
2015,AL West,85,77,3,4.17,3.94,162,0.01,0.07,0.28,8.89,8.36,4.17,3.89,1.02,2.88,7.54,1.264,7.63,1.04,0.57,0.67,.984,28.3
2014,AL West,98,64,1,3.89,3.58,162,0.02,0.08,0.28,9.15,8.07,3.89,3.64,0.78,3.11,8.28,1.221,8.15,0.76,0.51,0.78,.986,28.4
2013,AL West,78,84,3,4.55,4.23,162,0.02,0.07,0.25,9.0,9.10,4.55,4.23,1.03,3.29,7.41,1.378,7.41,1.03,0.69,0.83,.981,29.1
2012,AL West,89,73,3,4.31,4.02,162,0.04,0.10,0.23,8.85,8.27,4.31,3.95,1.15,2.98,7.14,1.271,7.26,1.17,0.60,0.87,.984,30.1
2011,AL West,86,76,2,3.91,3.57,162,0.07,0.07,0.24,9.04,8.57,3.91,3.59,0.88,2.94,6.53,1.272,6.50,0.87,0.57,0.97,.985,28.4
2010,AL West,80,82,3,4.33,4.04,162,0.06,0.06,0.24,8.95,8.78,4.33,4.02,0.91,3.49,6.98,1.371,7.02,0.92,0.70,0.72,.981,28.3
2009,AL West,97,65,1,4.70,4.45,162,0.06,0.08,0.31,8.92,9.34,4.70,4.41,1.11,3.23,6.56,1.409,6.61,1.12,0.52,1.07,.986,28.6
2008,AL West,100,62,1,4.30,3.99,162,0.04,0.06,0.41,8.96,8.98,4.30,3.98,0.99,2.82,6.83,1.317,6.86,0.99,0.56,0.98,.985,27.6
2007,AL West,94,68,1,4.51,4.23,162,0.03,0.06,0.27,8.86,9.14,4.51,4.16,0.93,2.94,7.14,1.364,7.25,0.95,0.62,0.95,.983,28.4
2006,AL West,89,73,2,4.52,4.04,162,0.03,0.07,0.31,8.97,8.70,4.52,4.02,0.98,2.91,7.19,1.295,7.21,0.98,0.77,0.95,.979,27.9
2005,AL West,95,67,1,3.97,3.68,162,0.04,0.07,0.33,9.04,8.76,3.97,3.69,0.98,2.73,6.95,1.272,6.92,0.97,0.54,0.86,.986,28.5
2004,AL West,92,70,1,4.53,4.28,162,0.01,0.07,0.31,8.98,9.11,4.53,4.27,1.05,3.10,7.19,1.360,7.20,1.05,0.56,0.78,.985,29.0
2003,AL West,77,85,3,4.59,4.28,162,0.03,0.06,0.24,8.84,8.91,4.59,4.20,1.17,3.00,6.05,1.348,6.16,1.19,0.65,0.85,.982,29.0
2002,AL West,99,63,2,3.98,3.69,162,0.04,0.09,0.33,8.96,8.30,3.98,3.67,1.04,3.14,6.17,1.277,6.19,1.05,0.54,0.93,.986,30.2
2001,AL West,75,87,3,4.51,4.20,162,0.04,0.01,0.27,8.87,8.96,4.51,4.14,1.04,3.24,5.85,1.375,5.93,1.05,0.64,0.88,.983,28.9
2000,AL West,82,80,3,5.36,5.00,162,0.03,0.02,0.28,8.94,9.47,5.36,4.97,1.41,4.09,5.22,1.517,5.26,1.42,0.83,1.12,.978,28.9
1999,AL West,70,92,4,5.10,4.79,162,0.02,0.04,0.23,8.84,9.09,5.10,4.70,1.09,3.85,5.41,1.464,5.51,1.11,0.65,0.96,.983,31.5
