Year,Lg,W,L,Finish,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%
2023,NL East,50,27,1,77,38.4,34.35,5.56,9.30,1.77,0.08,1.81,5.35,0.79,0.14,3.45,8.23,.271,.341,.484,.825,0.58,0.84,.984
2022,NL East,101,61,1,162,37.5,34.01,4.87,8.60,1.84,0.07,1.50,4.65,0.54,0.19,2.90,9.25,.253,.317,.443,.760,0.48,0.68,.987
2021,NL East,88,73,1,161,37.6,33.31,4.91,8.12,1.67,0.12,1.48,4.73,0.37,0.12,3.41,9.02,.244,.319,.435,.754,0.44,0.65,.988
2020,NL East,35,25,1,60,39.1,34.57,5.80,9.27,2.17,0.05,1.72,5.63,0.38,0.07,3.98,9.55,.268,.349,.483,.832,0.55,0.87,.985
2019,NL East,97,65,1,162,38.9,34.32,5.28,8.84,1.71,0.18,1.54,5.09,0.55,0.17,3.82,9.06,.258,.336,.452,.788,0.48,0.95,.987
2018,NL East,90,72,1,162,38.6,34.46,4.69,8.85,1.94,0.18,1.08,4.43,0.56,0.22,3.15,7.96,.257,.324,.417,.741,0.49,0.83,.986
2017,NL East,72,90,3,162,38.4,34.47,4.52,9.06,1.78,0.16,1.02,4.36,0.48,0.19,2.93,7.31,.263,.326,.412,.738,0.60,0.85,.984
2016,NL East,68,93,5,161,38.5,34.25,4.03,8.72,1.83,0.17,0.76,3.82,0.47,0.21,3.12,7.70,.255,.321,.384,.705,0.63,0.83,.983
2015,NL East,67,95,4,162,37.2,33.46,3.54,8.40,1.55,0.11,0.62,3.38,0.43,0.20,2.91,6.83,.251,.314,.359,.673,0.56,1.15,.985
2014,NL East,79,83,2,162,37.4,33.75,3.54,8.12,1.48,0.14,0.76,3.36,0.59,0.20,2.91,8.45,.241,.305,.360,.665,0.52,0.88,.986
2013,NL East,96,66,1,162,37.9,33.59,4.25,8.36,1.52,0.13,1.12,4.05,0.40,0.19,3.35,8.54,.249,.321,.402,.723,0.52,0.87,.986
2012,NL East,94,68,2,162,37.8,33.49,4.32,8.28,1.62,0.19,0.92,4.07,0.62,0.20,3.50,7.96,.247,.320,.389,.709,0.53,0.91,.986
2011,NL East,89,73,2,162,38.1,34.12,3.96,8.30,1.51,0.10,1.07,3.74,0.48,0.27,3.11,7.78,.243,.308,.387,.695,0.51,0.81,.987
2010,NL East,91,71,2,162,38.6,33.72,4.56,8.71,1.93,0.15,0.86,4.31,0.39,0.18,3.91,7.04,.258,.339,.401,.740,0.78,1.02,.980
2009,NL East,86,76,3,162,39.1,34.19,4.54,9.01,1.85,0.12,0.92,4.32,0.36,0.16,3.72,6.57,.263,.339,.405,.744,0.59,0.98,.985
2008,NL East,72,90,4,162,39.3,34.59,4.65,9.35,1.95,0.20,0.80,4.45,0.36,0.17,3.81,6.31,.270,.345,.408,.753,0.66,0.92,.983
2007,NL East,84,78,3,162,39.3,35.12,5.00,9.64,2.02,0.17,1.09,4.82,0.40,0.19,3.30,7.09,.275,.339,.435,.774,0.66,0.87,.983
2006,NL East,79,83,3,162,38.8,34.46,5.24,9.32,1.93,0.16,1.37,5.05,0.32,0.22,3.25,7.22,.270,.337,.455,.792,0.61,0.90,.984
2005,NL East,90,72,1,162,38.2,33.86,4.75,8.97,1.90,0.23,1.14,4.52,0.57,0.20,3.30,6.69,.265,.333,.435,.768,0.53,1.05,.986
2004,NL East,96,66,1,162,39.1,34.38,4.96,9.28,1.88,0.23,1.10,4.73,0.53,0.20,3.62,7.15,.270,.343,.434,.777,0.72,1.06,.981
2003,NL East,101,61,1,162,39.4,35.00,5.60,9.93,1.98,0.19,1.45,5.38,0.42,0.14,3.36,5.76,.284,.349,.475,.824,0.75,1.02,.981
2002,NL East,101,59,1,161,38.7,34.13,4.40,8.87,1.74,0.16,1.02,4.16,0.47,0.24,3.47,6.39,.260,.331,.409,.740,0.71,1.06,.982
2001,NL East,88,74,1,162,38.0,33.94,4.50,8.84,1.62,0.15,1.07,4.30,0.52,0.28,3.04,6.41,.260,.324,.412,.736,0.64,0.82,.983
2000,NL East,95,67,1,162,38.7,33.88,5.00,9.20,1.69,0.16,1.10,4.68,0.91,0.35,3.67,6.23,.271,.346,.429,.775,0.80,0.85,.979
1999,NL East,103,59,1,162,39.2,34.38,5.19,9.14,1.91,0.14,1.22,4.88,0.91,0.41,3.75,5.94,.266,.341,.436,.777,0.69,0.78,.982
1998,NL East,106,56,1,162,38.4,33.85,5.10,9.19,1.83,0.16,1.33,4.90,0.60,0.27,3.38,6.56,.272,.342,.453,.795,0.56,0.86,.985
