Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,NL East,50,27,1,4.17,3.85,77,0.01,0.06,0.32,8.90,8.21,4.17,3.81,1.12,3.23,9.53,1.286,9.64,1.13,0.58,0.84,.984,30.0
2022,NL East,101,61,1,3.76,3.46,162,0.01,0.06,0.34,8.94,7.56,3.76,3.43,0.91,3.09,9.59,1.191,9.66,0.92,0.48,0.68,.987,30.0
2021,NL East,88,73,1,4.07,3.88,161,0.01,0.11,0.25,8.2,7.68,4.07,3.78,1.14,3.20,8.80,1.243,9.04,1.17,0.44,0.65,.988,29.5
2020,NL East,35,25,1,4.80,4.41,60,0.00,0.07,0.22,8.74,8.23,4.80,4.28,1.15,3.67,8.43,1.362,8.69,1.18,0.55,0.87,.985,28.5
2019,NL East,97,65,1,4.59,4.19,162,0.01,0.05,0.27,8.95,8.77,4.59,4.17,1.25,3.38,8.60,1.357,8.64,1.26,0.48,0.95,.987,27.5
2018,NL East,90,72,1,4.06,3.75,162,0.01,0.07,0.25,8.99,7.63,4.06,3.75,0.94,3.92,8.78,1.284,8.79,0.95,0.49,0.83,.986,27.7
2017,NL East,72,90,3,5.07,4.72,162,0.00,0.04,0.22,8.90,9.03,5.07,4.67,1.19,3.60,7.77,1.420,7.86,1.20,0.60,0.85,.984,29.4
2016,NL East,68,93,5,4.84,4.51,161,0.01,0.06,0.24,8.99,8.78,4.84,4.50,1.10,3.40,7.62,1.355,7.63,1.10,0.63,0.83,.983,26.4
2015,NL East,67,95,4,4.69,4.41,162,0.02,0.06,0.27,8.80,9.02,4.69,4.31,1.05,3.40,7.09,1.412,7.25,1.07,0.56,1.15,.985,26.6
2014,NL East,79,83,2,3.69,3.38,162,0.03,0.08,0.33,8.98,8.45,3.69,3.38,0.75,2.91,8.03,1.265,8.05,0.75,0.52,0.88,.986,27.3
2013,NL East,96,66,1,3.38,3.18,162,0.01,0.07,0.33,8.95,8.19,3.38,3.16,0.78,2.52,7.60,1.196,7.65,0.79,0.52,0.87,.986,27.2
2012,NL East,94,68,2,3.70,3.42,162,0.03,0.10,0.29,8.92,8.09,3.70,3.39,0.90,2.86,7.60,1.227,7.67,0.90,0.53,0.91,.986,27.6
2011,NL East,89,73,2,3.73,3.48,162,0.02,0.10,0.32,9.13,8.22,3.73,3.53,0.77,3.22,8.22,1.252,8.10,0.76,0.51,0.81,.987,28.4
2010,NL East,91,71,2,3.88,3.56,162,0.01,0.06,0.25,8.88,8.19,3.88,3.51,0.78,3.12,7.66,1.272,7.76,0.79,0.78,1.02,.980,30.1
2009,NL East,86,76,3,3.96,3.57,162,0.02,0.06,0.23,9.03,8.64,3.96,3.59,0.73,3.27,7.60,1.319,7.58,0.73,0.59,0.98,.985,28.9
2008,NL East,72,90,4,4.80,4.46,162,0.01,0.04,0.16,8.89,8.88,4.80,4.41,0.96,3.62,6.64,1.406,6.72,0.97,0.66,0.92,.983,28.6
2007,NL East,84,78,3,4.52,4.11,162,0.01,0.04,0.22,8.99,8.90,4.52,4.10,1.06,3.31,6.83,1.359,6.83,1.06,0.66,0.87,.983,29.4
2006,NL East,79,83,3,4.97,4.60,162,0.04,0.04,0.23,8.90,9.44,4.97,4.54,1.13,3.53,6.48,1.458,6.55,1.14,0.61,0.90,.984,29.4
2005,NL East,90,72,1,4.16,3.98,162,0.05,0.07,0.23,8.91,9.18,4.16,3.94,0.90,3.21,5.73,1.390,5.79,0.90,0.53,1.05,.986,28.6
2004,NL East,96,66,1,4.12,3.74,162,0.02,0.08,0.30,8.95,9.10,4.12,3.72,0.95,3.23,6.33,1.378,6.36,0.96,0.72,1.06,.981,30.1
2003,NL East,101,61,1,4.57,4.10,162,0.02,0.04,0.31,8.99,8.80,4.57,4.09,0.91,3.43,6.12,1.360,6.13,0.91,0.75,1.02,.981,31.1
